  -6.0200  0.6109221-297  0.7852692E+01
  -6.0100  0.1141159-294  0.7901081E+01
  -6.0000  0.2089393-292  0.7949975E+01
  -5.9900  0.3749804-290  0.7999382E+01
  -5.9800  0.6596462-288  0.8049311E+01
  -5.9700  0.1137438-285  0.8099768E+01
  -5.9600  0.1922464-283  0.8150763E+01
  -5.9500  0.3184954-281  0.8202304E+01
  -5.9400  0.5172042-279  0.8254399E+01
  -5.9300  0.8232563-277  0.8307056E+01
  -5.9200  0.1284465-274  0.8360285E+01
  -5.9100  0.1964371-272  0.8414095E+01
  -5.9000  0.2944685-270  0.8468495E+01
  -5.8900  0.4326814-268  0.8523494E+01
  -5.8800  0.6231776-266  0.8579103E+01
  -5.8700  0.8797708-264  0.8635330E+01
  -5.8600  0.1217422-261  0.8692185E+01
  -5.8500  0.1651305-259  0.8749680E+01
  -5.8400  0.2195469-257  0.8807825E+01
  -5.8300  0.2861155-255  0.8866630E+01
  -5.8200  0.3654850-253  0.8926106E+01
  -5.8100  0.4576273-251  0.8986265E+01
  -5.8000  0.5616534-249  0.9047117E+01
  -5.7900  0.6756768-247  0.9108675E+01
  -5.7800  0.7967529-245  0.9170951E+01
  -5.7700  0.9209211-243  0.9233956E+01
  -5.7600  0.1043363-240  0.9297703E+01
  -5.7500  0.1158677-238  0.9362206E+01
  -5.7400  0.1261257-236  0.9427476E+01
  -5.7300  0.1345732-234  0.9493528E+01
  -5.7200  0.1407434-232  0.9560375E+01
  -5.7100  0.1442818-230  0.9628031E+01
  -5.7000  0.1449803-228  0.9696511E+01
  -5.6900  0.1427975-226  0.9765829E+01
  -5.6800  0.1378626-224  0.9836000E+01
  -5.6700  0.1304627-222  0.9907039E+01
  -5.6600  0.1210153-220  0.9978963E+01
  -5.6500  0.1100293-218  0.1005179E+02
  -5.6400  0.9805974-217  0.1012553E+02
  -5.6300  0.8566178-215  0.1020020E+02
  -5.6200  0.7334956-213  0.1027583E+02
  -5.6100  0.6156333-211  0.1035242E+02
  -5.6000  0.5064782-209  0.1043000E+02
  -5.5900  0.4084261-207  0.1050859E+02
  -5.5800  0.3228348-205  0.1058820E+02
  -5.5700  0.2501275-203  0.1066886E+02
  -5.5600  0.1899575-201  0.1075058E+02
  -5.5500  0.1414053-199  0.1083339E+02
  -5.5400  0.1031785-197  0.1091730E+02
  -5.5300  0.7379492-196  0.1100235E+02
  -5.5200  0.5173424-194  0.1108854E+02
  -5.5100  0.3555034-192  0.1117590E+02
  -5.5000  0.2394548-190  0.1126446E+02
  -5.4900  0.1580947-188  0.1135425E+02
  -5.4800  0.1023117-186  0.1144528E+02
